matchid,blue_dragon,blue_firstdragon,blue_HORDE,red_dragon,red_firstdragon,red_HORDE,blue_firstkill,red_firstkill,player1kills,player1assists,player1deaths,player2kills,player2assists,player2deaths,player3kills,player3assists,player3deaths,player4kills,player4assists,player4deaths,player5kills,player5assists,player5deaths,player6kills,player6assists,player6deaths,player7kills,player7assists,player7deaths,player8kills,player8assists,player8deaths,player9kills,player9assists,player9deaths,player10kills,player10assists,player10deaths,player0kills,player0assists,player0deaths
KR_6965278983,0,0,3,2,1,3,1,0,1,0,5,0,0,4,0,0,3,6,5,6,0,0,3,3,1,0,11,13,1,2,1,0,4,7,2,1,0,4,,,
KR_6961163006,1,1,6,1,0,0,1,0,3,0,3,0,0,4,7,8,4,3,4,4,0,0,6,1,0,3,5,7,2,1,0,3,5,7,4,8,13,1,1.0,0.0,0.0
KR_6990258458,0,0,3,1,1,3,0,1,1,1,4,3,4,4,2,3,1,1,1,5,3,4,3,2,1,3,3,6,1,7,13,0,3,4,2,2,2,4,,,
KR_6991192961,2,1,2,0,0,4,1,0,,,,4,4,0,3,3,2,2,4,0,1,1,0,0,0,1,1,0,2,1,1,5,0,0,2,,,,,,
KR_6987828402,2,1,4,0,0,2,0,1,1,1,2,2,4,1,4,3,1,3,5,1,1,2,1,2,1,3,2,3,2,1,0,5,1,2,0,0,0,1,,,
KR_6985798489,0,0,0,2,1,6,1,0,1,0,2,1,2,4,0,0,1,2,1,3,1,2,1,2,1,1,1,1,1,2,4,0,4,6,1,2,3,2,,,
KR_6948539783,2,1,5,0,0,1,1,0,4,3,2,5,6,1,5,1,0,5,5,2,4,5,1,2,0,4,1,2,3,1,2,3,1,1,8,1,1,5,,,
KR_6973961121,1,0,6,1,1,0,0,1,1,0,4,3,2,1,1,1,1,1,1,3,2,1,4,1,1,2,2,3,2,5,6,1,4,6,2,1,1,1,,,
KR_6957839106,0,0,3,1,1,3,1,0,1,0,7,4,6,2,1,1,0,2,3,3,3,3,3,3,1,1,6,5,1,0,0,1,2,2,3,4,2,5,,,
KR_6829343287,0,0,0,0,0,0,1,0,1,2,2,0,0,1,4,7,0,2,3,2,0,0,2,1,0,1,1,1,2,0,0,3,3,3,0,2,3,1,,,
KR_6959525589,0,0,5,2,1,1,0,1,0,0,2,8,11,4,1,0,1,4,4,3,2,2,0,2,0,0,4,4,3,1,1,3,3,3,5,0,0,4,,,
KR_6908234145,0,0,2,2,1,4,0,1,1,1,5,1,1,3,2,6,2,,,,1,2,3,6,4,3,2,3,1,0,0,1,5,12,0,,,,,,
KR_6932045276,1,1,0,1,0,6,0,1,4,0,3,1,2,1,0,0,6,1,2,1,0,0,2,1,0,4,4,5,1,7,7,0,1,2,0,0,0,1,,,
KR_6989800398,0,0,6,2,1,0,0,1,2,2,2,2,1,2,3,2,2,1,1,4,2,1,3,3,1,4,1,1,2,3,2,3,3,3,0,3,2,1,,,
KR_6973475765,1,1,6,0,0,0,1,0,4,0,2,5,6,0,11,9,1,3,3,3,0,0,3,1,1,5,2,3,4,1,0,6,5,6,5,0,0,3,,,
KR_6919176851,0,0,5,1,1,1,1,0,2,2,1,1,1,1,4,7,2,7,6,1,3,3,2,1,2,1,3,4,5,2,2,3,0,0,4,1,1,4,,,
KR_6930061690,0,0,0,1,1,6,1,0,2,2,0,2,0,4,7,4,0,0,0,3,2,3,3,0,0,2,2,2,4,2,3,5,2,2,1,4,3,1,,,
KR_6949132608,1,1,2,0,0,4,0,1,1,0,5,2,1,2,1,2,1,5,4,0,2,3,2,5,2,0,1,0,3,3,4,2,0,0,5,1,1,1,,,
KR_6986305074,0,0,1,1,1,5,1,0,1,0,1,1,1,2,2,3,3,1,1,5,0,0,6,1,0,2,4,7,0,5,9,1,3,3,1,4,4,1,,,
KR_6986870071,0,0,0,1,1,6,0,1,1,0,6,3,5,2,0,0,1,1,1,3,5,7,2,6,3,0,2,2,1,1,2,3,4,3,1,1,0,5,,,
KR_6749874938,0,0,0,0,0,0,1,0,2,0,2,1,0,7,1,2,2,6,8,4,5,8,4,1,0,2,4,5,4,2,3,1,4,5,4,8,9,4,,,
KR_6911108539,1,1,4,0,0,2,0,1,3,2,3,3,4,2,2,0,2,2,0,2,,,,1,0,3,4,7,0,2,1,3,0,0,2,2,1,2,,,
KR_6949084426,1,0,1,1,1,5,0,1,1,1,3,5,7,3,5,5,3,1,2,3,3,3,2,3,4,2,3,4,4,2,3,4,3,7,1,3,2,4,,,
KR_6909149627,1,1,3,0,0,3,1,0,4,2,4,2,1,2,0,0,4,1,2,4,1,1,5,1,1,2,5,5,2,3,2,1,9,10,2,1,1,1,,,
KR_6968580712,1,1,4,0,0,2,0,1,1,1,3,7,5,0,2,1,1,3,4,3,2,2,2,3,1,2,2,3,4,0,0,2,1,1,4,3,3,3,,,
KR_6922604215,0,0,3,1,1,3,1,0,4,1,3,3,4,1,2,0,2,0,0,2,2,3,2,1,0,6,3,6,1,0,0,1,1,2,3,4,4,0,1.0,0.0,0.0
KR_6878093211,0,0,0,2,1,0,1,0,3,0,3,0,0,3,0,0,9,0,0,3,2,1,8,2,1,4,7,6,1,12,4,0,4,4,0,1,1,0,,,
KR_6984544508,1,1,6,0,0,0,1,0,2,0,2,2,2,2,3,5,1,1,1,3,2,1,1,2,0,2,2,3,2,0,0,2,5,5,2,0,0,2,,,
KR_6945579261,1,1,1,1,0,5,1,0,6,10,0,1,3,2,2,0,2,8,11,1,1,0,3,4,4,2,1,1,2,3,3,3,0,0,5,0,0,6,,,
KR_6819224268,0,0,0,2,1,0,1,0,2,4,5,2,6,4,6,12,0,6,9,1,0,0,5,4,1,1,4,5,4,2,2,4,4,5,5,1,1,2,,,
KR_6981856644,0,0,3,1,1,3,0,1,6,2,1,1,3,1,2,3,0,1,2,1,0,0,2,0,0,6,2,3,1,3,4,0,0,0,2,0,0,1,,,
KR_6969246907,2,1,5,0,0,1,1,0,3,1,2,0,0,1,2,0,4,1,1,0,4,4,0,0,0,2,2,1,2,4,1,1,0,0,2,1,0,3,,,
KR_6820800743,0,0,0,1,1,0,0,1,1,1,0,4,6,3,3,3,3,1,2,3,1,2,3,0,0,2,4,3,2,3,1,3,3,4,2,2,2,1,,,
KR_6923836083,0,0,6,2,1,0,1,0,2,2,1,1,2,2,2,3,0,2,1,2,0,0,3,1,1,2,0,0,1,3,3,3,2,2,1,2,3,1,1.0,0.0,0.0
KR_6549761285,0,0,0,0,0,0,0,1,3,0,3,2,3,1,2,3,2,2,4,3,1,1,2,1,0,3,5,4,0,2,3,3,1,2,2,2,3,2,,,
KR_6968826658,0,0,0,1,1,6,0,1,1,0,5,1,1,4,11,9,5,6,5,5,0,0,5,2,0,3,2,1,4,7,3,5,5,3,5,7,5,2,1.0,0.0,0.0
KR_6935584432,1,0,6,1,1,0,0,1,2,0,2,7,8,3,7,9,5,3,5,2,5,7,6,1,0,4,2,2,6,6,8,6,5,6,4,4,4,4,,,
KR_6988134519,1,1,4,1,0,2,1,0,2,0,1,1,1,3,7,10,1,1,1,3,3,5,2,1,0,3,9,11,3,0,0,2,0,0,5,0,0,1,,,
KR_6779570345,1,0,0,1,1,0,1,0,6,2,0,2,1,1,1,0,0,3,4,2,2,2,2,0,0,7,1,1,1,0,0,1,3,5,3,1,2,2,,,
KR_6986595561,2,1,0,0,0,6,1,0,4,1,2,6,8,1,2,5,1,8,11,1,0,0,1,2,1,4,1,1,3,1,0,2,0,0,6,2,4,5,,,
KR_6956882874,1,0,4,1,1,2,1,0,6,2,0,3,3,1,2,3,2,6,10,2,1,1,2,0,0,7,3,4,2,0,0,1,3,3,4,1,0,4,,,
KR_6961319750,0,0,3,1,1,3,0,1,,,,3,3,2,0,0,4,0,0,2,0,0,1,0,0,1,2,3,1,5,3,0,2,3,0,0,0,1,,,
KR_6617836335,1,0,0,1,1,0,0,1,2,2,4,4,5,1,1,0,1,1,2,3,1,1,1,4,1,1,0,0,1,3,4,4,2,2,2,1,1,1,,,
KR_6950995231,0,0,3,2,1,3,1,0,4,0,4,8,9,4,7,8,3,2,3,3,1,0,4,4,0,4,5,4,4,2,2,5,4,4,4,3,3,5,,,
KR_6904901662,1,0,2,1,1,4,0,1,4,3,1,2,2,0,7,4,1,6,8,2,0,0,2,0,0,5,1,1,1,1,2,7,3,6,2,0,0,4,1.0,0.0,0.0
KR_6933789998,0,0,3,1,1,3,0,1,6,4,5,6,9,2,2,3,3,4,4,1,3,3,0,5,3,5,2,2,5,2,0,0,1,1,9,1,3,2,,,
KR_6979826555,1,0,0,1,1,6,1,0,3,1,5,3,3,2,4,0,1,2,4,1,1,2,2,6,1,4,2,0,2,1,0,4,1,0,1,1,1,2,,,
KR_6974661213,2,1,0,0,0,6,1,0,0,0,6,1,2,0,1,0,0,3,3,1,3,3,1,5,4,0,3,5,1,,,,0,0,4,0,0,3,,,
KR_6835286023,0,0,0,1,1,0,0,1,2,1,4,2,2,5,1,1,4,7,7,3,2,4,3,1,0,0,2,2,4,11,4,1,4,7,4,1,1,5,,,
KR_6972524012,0,0,1,1,1,5,0,1,2,4,1,5,8,2,2,3,1,2,2,1,4,6,4,1,3,3,2,3,1,3,4,5,2,2,2,1,1,4,,,
KR_6986757531,0,0,3,1,1,3,0,1,3,2,1,4,4,1,5,3,0,0,0,1,2,3,4,1,1,4,3,3,3,1,2,2,1,1,2,1,1,3,,,
KR_6955408544,1,0,6,1,1,0,0,1,1,1,2,1,1,2,6,8,2,6,5,3,1,1,1,1,0,2,2,3,3,3,5,2,1,2,4,3,4,4,,,
KR_6943632875,0,0,0,2,1,6,0,1,1,0,1,4,9,4,1,0,6,0,0,2,1,2,2,1,1,2,2,7,1,10,5,1,1,2,1,1,2,2,,,
KR_6991574731,0,0,5,1,1,1,1,0,2,2,6,9,16,2,1,1,3,1,1,1,2,4,3,8,5,1,1,2,3,2,2,4,2,3,3,2,3,4,,,
KR_6937622325,1,1,0,1,0,6,0,1,2,1,3,3,3,4,2,0,4,1,1,4,2,2,2,5,5,4,3,5,0,4,5,1,3,4,3,2,2,2,,,
KR_6876659182,1,1,0,1,0,0,0,1,4,0,0,1,2,1,0,0,2,1,1,2,1,1,2,1,0,4,4,4,0,0,0,2,1,1,0,1,1,1,,,
KR_6988486047,0,0,6,1,1,0,0,1,2,0,3,4,8,2,4,1,1,2,3,5,0,0,3,3,1,2,4,5,2,0,0,6,4,4,2,3,2,0,,,
KR_6992134374,1,0,6,1,1,0,1,0,2,0,3,4,3,2,3,5,2,3,5,4,1,2,4,2,0,4,0,0,3,5,10,2,4,5,1,4,6,3,,,
